Geneid,TR_AG_1,TR_AG_2,TR_AG_3,TR_SH_1,TR_SH_2,TR_SH_3
Hspa8,38615,59021,42940,39589,47073,39707
Bsx,0,0,0,0,0,0
4931429I11Rik,0,0,0,1,0,0
Crtam,4,5,8,4,1,6
Ubash3b,41,149,54,37,82,39
1700063D05Rik,0,0,0,0,0,0
3110039I08Rik,3,11,4,5,5,4
Mir100,0,0,0,0,0,3
Mirlet7a-2,0,0,0,0,0,0
2610203C20Rik,445,590,539,292,360,345
Mir125b-1,0,0,0,0,0,0
Sorl1,3,33,5,70,95,75
4930546K05Rik,0,0,0,0,1,0
Sc5d,1764,3192,2043,1260,1778,1434
Tecta,0,9,0,2,7,0
Tbcel,343,1340,388,790,923,782
Grik4,0,0,0,0,0,0
Arhgef12,4147,6620,4686,4116,5664,3584
Tmem136,3,2,4,1,27,0
Pou2f3,0,8,0,0,2,3
Oaf,9,774,11,36,550,31
D630033O11Rik,0,0,0,0,0,0
Trim29,0,90,1,12,180,5
Pvrl1,384,777,376,345,321,317
Thy1,255,1685,293,5,145,6
Usp2,34,133,37,31,76,57
C1qtnf5,0,0,0,0,0,0
Mfrp,0,0,0,0,0,0
Rnf26,1293,2293,1465,1452,1461,1513
Mcam,185,113,237,261,289,327
Cbl,576,1149,703,587,705,416
Ccdc153,0,0,0,0,0,0
Pdzd3,0,1,1,0,0,0
Nlrx1,188,225,195,166,207,184
Abcg4,4,5,2,5,3,2
Hinfp,178,379,216,227,235,268
C2cd2l,459,499,466,202,429,282
Dpagt1,481,839,550,438,605,508
H2afx,773,2256,773,805,992,768
Hmbs,1183,1461,1173,999,1119,1104
Vps11,2481,3231,2732,2259,2091,2280
Hyou1,6219,8665,6647,5649,6306,5099
Slc37a4,292,413,342,236,307,225
Mir7085,0,0,0,0,0,0
Trappc4,980,1339,1045,749,978,925
Rps25,8607,12165,9542,6696,8763,8436
Ccdc84,180,265,180,152,149,164
Foxr1,0,0,0,0,0,0
Upk2,0,0,2,0,0,0
Bcl9l,3148,5846,3240,2884,4122,2737
Cxcr5,1,13,15,4,12,4
Ddx6,5083,9392,5791,5561,6342,5444
Treh,0,0,1,1,0,0
Phldb1,4500,6201,4755,5831,3756,5693
Arcn1,5826,11005,6544,6906,7195,6629
Ift46,910,1493,986,1050,1038,1131
Tmem25,21,41,30,21,29,27
Ttc36,14,8,17,5,19,17
Kmt2a,1585,4002,1848,2581,2295,2153
Atp5l,2053,2730,2253,1395,2246,1820
Ube4a,1954,2972,2300,1903,2015,1764
Cd3g,0,0,0,0,0,0
Cd3d,0,0,0,0,0,0
Cd3e,0,0,0,0,0,0
Mpzl2,12,26,9,61,51,61
Mpzl3,0,0,0,1,0,0
Amica1,0,1,0,0,0,0
Gm10684,0,0,0,0,0,0
Scn2b,0,0,0,0,0,0
Scn4b,0,0,0,0,0,0
Tmprss4,0,0,0,0,3,1
BC049352,0,0,0,0,0,0
Il10ra,0,0,0,0,0,0
Mir7086,0,0,0,0,0,0
1700003G13Rik,0,0,0,0,0,0
Tmprss13,0,0,0,0,0,0
Fxyd6,0,3,0,0,2,3
Fxyd2,0,0,0,0,0,0
4833428L15Rik,0,0,0,0,0,0
Dscaml1,0,1,0,0,1,1
Cep164,996,1422,1004,1113,875,1064
Bace1,1124,2147,1379,554,1579,567
Rnf214,581,1160,749,636,796,492
Pcsk7,755,1327,934,702,812,659
Tagln,4327,2596,4611,1105,10155,1175
Sidt2,2625,4100,2863,2289,3657,2148
Mir7087,0,0,0,0,0,0
Pafah1b2,4416,7995,4855,3612,4619,3937
Sik3,1914,4063,2006,2371,2259,2085
Apoa1,6,4,4,1,69,2
Apoc3,0,0,0,0,0,0
Apoa4,0,0,0,0,0,0
Apoa5,0,0,1,0,0,0
Zfp259,1442,1638,1554,1079,1057,1151
Bud13,338,522,335,326,297,323
4931429L15Rik,0,0,0,0,0,0
2900052N01Rik,0,0,0,0,0,0
Gm4791,0,0,0,0,0,0
Cadm1,2,6,0,3,5,2
Gm10677,0,0,0,0,0,0
Nxpe2,0,0,0,0,0,0
Nxpe4,114,128,111,20,81,11
Gm8884,0,0,0,0,0,0
Rexo2,2244,3285,2567,1557,2679,1746
Rbm7,1466,2258,1590,1116,1461,1161
Gm5617,176,168,150,62,179,96
Nnmt,956,1870,1114,282,1384,358
Zbtb16,0,75,0,2,18,5
Htr3a,0,0,0,0,0,0
Htr3b,0,0,0,0,0,0
Usp28,344,664,371,308,292,301
Zw10,859,1426,956,1065,882,962
Tmprss5,0,1,0,0,0,0
Gm4894,0,0,0,0,0,0
