""	"TR_AG_1"	"TR_AG_2"	"TR_AG_3"	"TR_SH_1"	"TR_SH_2"	"TR_SH_3"
"Larp4"	4641.3907579497	4088.33637652378	4818.76759360574	5894.06989483362	4080.29801075393	5134.74404008128
"Larp4b"	2646.63574119042	2455.03855221796	2719.42391889506	2934.30597017914	2681.75754287636	2576.45155495653
"Larp6"	70.6204118133733	127.687072115995	85.3230415997721	59.7708496377493	82.0946186594803	49.1363066036486
"Larp7"	2096.88299692016	1844.80401738139	2114.2256005711	2101.94154559419	1132.71027412307	1922.72504101234
"Lars"	5466.01987435509	4301.40928214065	5687.87206385458	4808.23279308117	3690.3485721214	4693.58546122678
"Lars2"	17071.6697049775	12230.5414536627	17249.1442006237	18262.2082995042	8975.67830676984	15801.5952953864
"Las1l"	1377.64126429781	1261.98695201759	1320.52288801508	1135.64614311724	1107.30003501418	1133.33959361894
"Lasp1"	15034.5424411302	13282.588925146	14842.2407247976	15646.6801940597	10685.0055452869	14986.5735141128
"Lat"	0	0.783356270650273	0	3.32060275765274	0.977316888803337	2.13636115668037
"Lat2"	21.7293574810379	17.233837954306	35.7166220650209	33.2060275765274	23.4556053312801	25.6363338801645
"Lats1"	1423.27291500799	1981.10800847454	1454.46022075891	1852.89633877023	1590.09457808303	1624.70265965542
"Lats2"	2144.68758337844	2720.5963279684	2223.35972354755	4607.88976003612	2544.93317844389	4034.51804439088
"Lax1"	0	0	1.98425678139005	4.42747034353699	4.88658444401668	0
"Layn"	483.478203953094	1540.07842809844	472.253113970832	178.205681327364	424.155529740648	184.795240052852
"Lbh"	2928.03092056986	2989.28752880144	2650.96705993711	4993.07967992384	4215.16774140879	4787.58535212072
"Lbp"	306.383940482635	1094.34871009843	336.331524445613	123.969169619036	1459.13411498338	145.272558654265
"Lbr"	1476.50984083653	1549.47870334624	1365.16866559635	1529.69100369203	993.931275912993	1470.88465637444
"Lbx1"	0	0	0	0	0	1.06818057834019
"Lbx2"	5.43233937025949	0.783356270650273	2.97638517208507	2.21373517176849	0.977316888803337	2.13636115668037
"Lca5"	257.4928861503	307.859014365557	228.189529859856	247.938339238071	336.197009748348	211.499754511357
"Lca5l"	27.1616968512974	12.5337003304044	34.7244936743259	7.74807310118973	12.7051195544434	3.20454173502056
"Lcat"	21.7293574810379	24.2840443901585	16.8661826418154	15.4961462023795	24.4329222200834	11.7499863617421
"Lce1d"	3.25940362215569	0	0.992128390695025	0	0	1.06818057834019
"Lce1e"	0	0	0	1.10686758588425	0	0
"Lce1f"	4.34587149620759	0.783356270650273	0	3.32060275765274	5.86390133282002	2.13636115668037
"Lce1g"	15.2105502367266	29.7675382847104	23.8110813766806	4.42747034353699	8.79585199923003	4.27272231336075
"Lce1h"	0	0.783356270650273	0	0	0	0
"Lce1l"	0	0	0	0	0.977316888803337	0
"Lce1m"	2.17293574810379	0.783356270650273	0	0	0	1.06818057834019
"Lce3a"	0	0.783356270650273	0	0	0	0
"Lce3b"	0	0	0	0	0.977316888803337	0
"Lce3c"	7.60527511836328	1.56671254130055	0.992128390695025	5.53433792942124	3.90926755521335	1.06818057834019
"Lce3d"	0	0.783356270650273	0	0	0	1.06818057834019
"Lck"	30.4211004734531	50.9181575922678	53.5749330975313	75.2669958401288	17.5917039984601	114.2953218824
"Lclat1"	1277.68621988503	1190.70153138842	1359.21589525218	1167.74530310788	1144.43807678871	1147.22594113736
"Lcmt1"	467.181185842316	467.663693578213	479.198012705697	469.311856414921	571.730379949952	530.885747435073
"Lcmt2"	383.52315954032	371.310872288229	388.91432915245	356.411362654728	310.786770639461	364.249577214004
"Lcn12"	0	0	0	1.10686758588425	0	0
"Lcn2"	34.7669719696607	99.4862463725847	46.6300343626662	19.9236165459164	47.8885275513635	17.090889253443
"Lcn4"	0	0	0.992128390695025	0	0	0
"Lcor"	102.127980160878	117.503440597541	131.953075962438	201.449900630933	110.436808434777	169.84071195609
