""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PMAIP1"	672.288663562152	1.728988695821	0.12000289982212	14.4078909625007	4.61591639056383e-47	0.00144487091371546
"PMS2P1"	844.275736878653	1.44899218108433	0.115664103497631	12.5275875337936	5.27427208122356e-36	0.00737066267970291
"PNN"	449.670266390159	-1.94006793237241	0.150648061148411	-12.8781473693256	5.97526894831941e-38	0.00546535528534905
"PNP"	3101.68026104418	1.82998947262367	0.0751602852050707	24.3478250199642	6.11314821776134e-131	5.42938102065258e-09
"PNPLA6"	635.475119815373	-1.87244530231134	0.127681383066692	-14.6649829234173	1.08044341362904e-48	0.00114960727740274
"POC1B"	1237.15936504325	1.75460526541022	0.113610307649701	15.4440675472885	8.27151794747555e-54	0.000542881409243532
"POLA1"	389.77165075847	-1.84258147869645	0.139723623535358	-13.1873296159555	1.03797297531263e-39	0.00415955354407418
"POLE4"	2391.38905840661	2.00142410173717	0.110399269789757	18.12896141024	1.88281675766377e-73	2.86859957628276e-05
"POLR2F"	4681.40855684541	1.5283116091579	0.091988834146775	16.6140991277198	5.50962875020483e-62	0.000158006330888041
"POLR2G"	4742.47343168801	1.48163325366453	0.0960478548688543	15.4259900513925	1.09463523081028e-53	0.000553732863595857
"POLR2H"	6804.96397200712	1.74437017756178	0.0764023524843744	22.8313673707696	2.23844562530888e-115	5.25656600190048e-08
"POLR2J"	1972.79877133617	1.35630277371741	0.0823962717150277	16.460729903026	7.02482369596084e-61	0.000187591477089033
"POLR2J4"	449.153838651362	1.64760891001784	0.135332611494302	12.1745150102805	4.24912257461848e-34	0.00975007603103985
"POLR2K"	2536.92160395041	2.05596018027051	0.0921626376550384	22.307957243649	3.09301942512015e-110	1.1156000963271e-07
"POLR2L"	6128.55464978529	1.79319793177761	0.089952447049161	19.9349544187229	2.02489448701347e-88	3.02088138349716e-06
"POM121C"	984.282584320374	-1.97754561316281	0.141427979570285	-13.9827042652478	1.98788534863967e-44	0.00208431817028836
"POMP"	6446.3485838158	1.63771649577928	0.0852206795935543	19.2173601946158	2.64908981733998e-82	7.58816655634571e-06
"PON2"	1614.70270081617	1.64663039794412	0.0841334763738734	19.5716434041879	2.69838439165581e-85	4.89197069125312e-06
"POP5"	1699.82204931452	1.55949568679369	0.0898708663410398	17.3526277233798	1.88424573965265e-67	7.07347059811837e-05
"PPA1"	10821.4556143969	1.35930120277804	0.085336977698351	15.9286306996117	4.01043442424044e-57	0.000331000809516575
"PPCS"	2202.8543990004	1.14327818045433	0.0857762935823959	13.3286031921642	1.57824994491077e-40	0.00370987609087706
"PPIA"	100779.21177652	1.13224233213434	0.0677203340005981	16.7193849357616	9.46914368744847e-63	0.000140365030446184
"PPIC"	165.029733405482	3.15715954741936	0.22315339384311	14.1479342664133	1.92324182656974e-45	0.00181213313821536
"PPIH"	2861.80321326697	1.0357906102035	0.07576266892939	13.671516920409	1.50230421341845e-42	0.00275423179024506
"PPP1R14B-AS1"	377.041531244981	2.72012332141254	0.165269971467934	16.4586663702565	7.26842558389694e-61	0.000187814830184124
